"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 200"
"errors: 7465"
"haskell demerits lower: 7465"
"seeds: "
"Equal -344134222202909001, -8713479225683502563"
"Equal 1390040051910892304, 3923526257897783988"
"Haskell lower 7012921067061409557, 3738225270320041658"
"Haskell lower -488061382802312662, 6422243907212642917"
"Equal -8939838932137884489, -7442835081812584443"
"Equal -5114761972157885626, -2603989301954868417"
"Haskell lower -8273205379067253983, -4608534621724135234"
"Haskell lower -9025839755352105170, -5586199514896000913"
"Equal 6826703136664658399, 3189196100169509314"
"Haskell lower -7691272287526553375, 1572640924604927995"
"Haskell lower 7401736510204731319, 975786778509950374"
"Haskell lower 2377812983885973693, -827934084140022866"
"Haskell lower 8781496169855489199, -6071028962784572097"
"Haskell lower 3352242955754533361, -8361967815257441894"
"Haskell lower -1061059023448328920, -934271897818438430"
"Equal 95485101197498871, 7876167904081242429"
"Haskell lower -8242680066774680496, 8961257233196020270"
"Haskell lower 300825306205109855, -6833513407238248751"
"Haskell lower -7685795687219634817, -1417679631286800626"
"Haskell lower 5418721995985974629, -8196652947048504940"
"Haskell lower -6356597981796020877, -1617426989010056632"
"Haskell lower -4544798649822796198, 3843418656158233131"
"Haskell lower -597116125742524761, -424072520530492821"
"Equal -2084291321561448069, -232200929175285001"
"Haskell lower -563764283004720588, -4009071090960618862"
"Haskell lower -675420532993104685, 2350640489508957692"
"Haskell lower -5536315157488292804, 6107659972763546499"
"Haskell lower 7056030149328026418, 3780416412824250707"
"Haskell lower 3682133705839619635, 4672850586102025483"
"Haskell lower -8505014074742863754, 6941011922628931967"
"Equal -7389070550667767282, 2303361198842828732"
"Equal 5063545254602147484, -4837293892257648858"
"Haskell lower 3518001261430919265, 2530710351797991056"
"Haskell lower -4748870117930828080, -918736407824707097"
"Haskell lower -7395007915521404364, -7607231369926103513"
"Equal 4203971491851993012, 615478715400105196"
"Equal -1409972517076136876, -7833395445026591163"
"Haskell lower 4451167983952402371, 16506942540561036"
"Haskell lower 6798022477299039725, 2755337534248978026"
"Equal 5708185781741341335, 4175017999364338497"
"Haskell lower 1087710835117187438, -318861233197257599"
"Haskell lower -439829686945957128, -164873966161359798"
"Haskell lower -6316413836073041685, 4762632121151529077"
"Haskell lower 1515211271211123805, -8883808301375033009"
"Haskell lower -4454100897158487554, 1433923191109213218"
"Equal 4306975325955151914, -6638702989854404710"
"Haskell lower -5454175655928937629, -3941308501941756400"
"Haskell lower -3651754384478987065, 7781476501206885374"
"Haskell lower -326571903096818318, 977780524833717749"
"Equal 2756545394156184972, -4029886728243374773"
"Equal -5490189522573176934, 5422239931208921532"
"Haskell lower 2044252920685647138, -4276142820706114051"
